,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4.0
1,1st Block Jayanagar,1630.0,3.0,194.0,3.0
2,1st Block Jayanagar,1875.0,2.0,235.0,3.0
3,1st Block Jayanagar,1200.0,2.0,130.0,3.0
4,1st Block Jayanagar,1235.0,2.0,148.0,2.0
5,1st Block Jayanagar,2750.0,4.0,413.0,4.0
6,1st Block Jayanagar,2450.0,4.0,368.0,4.0
7,1st Block Koramangala,1415.0,2.0,110.0,2.0
8,1st Block Koramangala,860.0,2.0,65.5,2.0
9,1st Block Koramangala,3000.0,3.0,300.0,4.0
10,1st Block Koramangala,2350.0,3.0,210.0,3.0
11,1st Block Koramangala,3000.0,5.0,500.0,4.0
13,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
14,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
15,1st Phase JP Nagar,2065.0,4.0,210.0,3.0
17,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
18,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
19,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
20,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
21,1st Phase JP Nagar,840.0,2.0,50.0,1.0
22,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
23,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
24,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
25,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
26,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
27,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
29,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
31,1st Phase JP Nagar,900.0,2.0,75.0,2.0
32,2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0
33,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
34,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
35,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
36,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
37,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
38,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
39,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
40,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
41,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0
42,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0
43,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
44,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
45,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0
46,5th Block Hbr Layout,1206.0,2.0,56.0,2.0
47,5th Block Hbr Layout,1270.0,2.0,70.0,3.0
48,5th Block Hbr Layout,1312.0,2.0,69.0,2.0
